stop_id,stop_name,stop_lat,stop_lon,location_type,parent_station,wheelchair_boarding
CHGNEY05,"Champagney - Les Baraques",47.260067,5.900273,0,st_champagney__les_baraques,0
CHGNEY04,"Champagney - Abribus",47.258846,5.906978,0,st_champagney__abribus,0
ECHVALE1,"École-Valentin - Echangeur de Valentin",47.278015,5.993835,0,st_ecolevalentin__echangeur_de_valentin,1
CHVALEN2,"Chemin de Valentin",47.270634,6.007419,0,st_chemin_de_valentin,0
CHVALEN1,"Chemin de Valentin",47.27074,6.007254,0,st_chemin_de_valentin,0
ECHVALE2,"École-Valentin - Echangeur de Valentin",47.277508,5.994129,0,st_ecolevalentin__echangeur_de_valentin,1
BAVEREZ1,"Baverez",47.24202,5.978793,0,st_baverez,0
BAVEREZ2,"Baverez",47.243584,5.97854,0,st_baverez,0
MONTFE11,"Montferrand-le-Château - Les Deux Mares",47.17812,5.921995,0,st_montferrandlechateau__les_deux_mares,0
MONTFE10,"Montferrand-le-Château - Stade",47.17572,5.911473,0,st_montferrandlechateau__stade,0
MONTFE13,"Montferrand-le-Château - Le Bochet",47.195267,5.920159,0,st_montferrandlechateau__le_bochet,0
MONTFE12,"Montferrand-le-Château - Les Deux Marres",47.178085,5.922129,0,st_montferrandlechateau__les_deux_marres,0
TORPES17,"Torpes - la combe",47.16578,5.88457,0,st_torpes__la_combe,0
MONTFE15,"Montferrand-le-Château - Maison de Retraite",47.190834,5.924722,0,st_montferrandlechateau__maison_de_retraite,0
TORPES18,"Torpes - la combe",47.16578,5.88457,0,st_torpes__la_combe,0
TORPES19,"Torpes - verne",47.16913,5.8885,0,st_torpes__verne,0
MONTFE17,"Montferrand-le-Château - Chapelle",47.176895,5.915303,0,st_montferrandlechateau__chapelle,0
MALCOMB2,"Malcombe",47.22237,5.981935,0,st_malcombe,0
MONTFE16,"Montferrand-le-Château - Chapelle",47.17687,5.915288,0,st_montferrandlechateau__chapelle,0
MONTFE18,"Montferrand-le-Château - Couvent",47.192307,5.916664,0,st_montferrandlechateau__couvent,0
AMAGN03,"Amagney - Prairie",47.30494,6.151611,0,st_amagney__prairie,0
AMAGN01,"Amagney - Malmaison",47.298786,6.158828,0,st_amagney__malmaison,0
GRATT01,"Le Gratteris - Village",47.183342,6.13739,0,st_le_gratteris__village,1
GRATT02,"Le Gratteris - Village",47.183056,6.1361113,0,st_le_gratteris__village,1
COURBET1,"Courbet",47.240883,6.025303,0,st_courbet,0
DEMAN2,"Demangel",47.24463,6.011316,0,st_demangel,0
PELOUS07,"Pelousey - Champ Pusy",47.27052,5.919536,0,st_pelousey__champ_pusy,0
DEMAN1,"Demangel",47.24433,6.011668,0,st_demangel,0
PELOUS06,"Pelousey - Vert Village",47.274406,5.913301,0,st_pelousey__vert_village,0
LIBERTE3,"Liberté",47.247612,6.028507,0,st_liberte,1
PELOUS09,"Pelousey - Lotissement",47.27712,5.926454,0,st_pelousey__lotissement,0
LIBERTE4,"Liberté",47.247437,6.028415,0,st_liberte,1
PELOUS03,"Pelousey - Mairie",47.275597,5.921284,0,st_pelousey__mairie,0
PELOUS02,"Pelousey - Chêne Béni",47.27972,5.9319444,0,st_pelousey__chene_beni,0
PELOUS05,"Pelousey - Vert Village",47.274395,5.913446,0,st_pelousey__vert_village,0
PELOUS04,"Pelousey - Mairie",47.2756,5.920984,0,st_pelousey__mairie,0
